dzień dobry,good morning
dobranoc,goodnight
tak,yes
nie,no
proszę,please
dziękuję,thank you
przepraszam,excuse me
nazywam się,my name is
skąd jesteś,where are you from
rozumiem,I understand
nie rozumiem,I don't understand
mówisz po angielsku,do you speak English
nie mówię po polsku,I don't speak Polish
nie wiem,I don't know
jak się masz,how are you
dobrze,good
źle,bad
bardzo dobrze,very well
i ty, and you
do widzenia,goodbye
na razie,see you later
dzięki,thanks
proszę bardzo,you're welcome
chcę,I want
potrzebuję,I need
jaki masz numer telefonu,what's your phone number
ile to kosztuje,how much does it cost
gdzie jest,to where is
jak tam,to how are things
nie jest źle,not bad
w porządku,alright
bez problemu,no problem
poproszę o rachunek,can I have the bill
czy mogę zapłacić kartą,can I pay by card
niebieski,blue
czerwony,red
zielony,green
żółty,yellow
biały,white
czarny,black
szary,grey
różowy,pink
fioletowy,purple
brązowy,brown
pomarańczowy,orange
słonecznie,sunny
pochmurno,cloudy
deszczowo,rainy
wietrznie,windy
śnieg,snow
zimno,cold
ciepło,warm
gorąco,hot
woda,water
kawa,coffee
herbata,tea
zawsze, always
czas, time
dzień, day
miejsce, place
dom, home
miłość, love
przyjaciel, friend
żona, wife
mąż, husband
dziecko, child
rodzina, family
mama, mom
tata, dad
chłopiec, boy
dziewczyna, girl
miasto, city
kraj, country
mapa, map
woda, water
jedzenie, food
kawa, coffee
herbata, tea
wino, wine
piwo, beer
buty, shoes
ubranie, clothing
kolor, color
duży, big
mały, small
młody, young
stary, old
dobry, good
zły, bad
piękny, beautiful
brzydki, ugly
bogaty, rich
biedny, poor
cichy, quiet
głośny, loud
szybki, fast
wolny, slow
zimny, cold
gorący, hot
nowy, new
stary, old
jasny, bright
ciemny, dark
bliski, close
daleki, far
łatwy, easy
