sono,I am
io,I
il suo,his
che,that
lui,he
era,he/she was
per,for
su,on
come,as/like
con,with
loro,they
essere,to be
a,at
uno,one
avere,to have
questo,this
da,from
di,by
caldo,hot
parola,word
ma,but
cosa,what
alcuni,some
è,is
quello,that
voi,you (pl)
o,or
aveva,had
il,the
di,of
a,to
e,and
un,a
in,in
noi,we
lattina,can (of soda)
fuori,out
altro,other
erano,were
che / quale,which
fare,to do/make
loro,their
tempo,time
se,if
volontà,will
come,how
detto,said
un,an
ogni,each
dire,tell
fa,does
fisso,set (unchanging)
tre,three
desiderare,desire
aria,air
bene,well
anche,also
giocare,play
piccolo,small
fine,end
mettere,put
casa,home
leggere,read
mano,hand
portare,carry
grande,large
compitare,spell (words)
aggiungere,add
anche,even/also
terra,land
qui,here
devo,I must
grande,big
alto,high/tall
tale,such
seguire,follow
atto,an act
perché,why
chiedere,ask
maschi,men
cambiamento,a change
è andato,he/she went
luce,light
tipo,kind (of thing)
spento,turned off
bisogno,need
casa,house
immagine,image
provare,try
noi,us
di nuovo,again
animale,animal
punto,point
madre,mother
mondo,world
vicino,near
costruire,build
se stesso,himself
terra,earth
padre,father
qualsiasi,any
nuovo,new
lavoro,work
parte,part
prendere,take
ottenere,get
posto,place
fatto,made
vivere,live
110.where,where
dopo,after
indietro,back
poco,little
solo,only
turno,round
uomo,man
anno,year
è venuto,came
spettacolo,show
ogni,every
buono,good
me,me
dare,give
nostro,our
sotto,under
nome,name
molto,very
attraverso,through
solo,just
forma,form
frase,sentence
grande,great
pensare,think
dire,say
aiutare,help
basso,low
linea,line
differire,differ
turno,turn
causa,cause
molto,much
significare,mean
prima,before
mossa,move
diritto,right
ragazzo,boy
vecchio,old
troppo,too
lo stesso,the same
lei,she
tutto,all
lì,there
quando,when
su,up
uso,use
il tuo,your
modo,way
su,about
molti,many
poi,then
loro,them
scrivere,write
vorrebbe,would like
così,so
questi,these
lei,her
lungo,long
fare,make
cosa,thing
vedere,see
lui,him
due,two
ha,has
guardare,look
più,more
giorno,day
potrebbe,could
andare,go
venire,come
fatto,did
numero,number
suono,sound
no,no
più,most
persone,people
il mio,my
oltre,over
sapere,know
acqua,water
di,than
chiamata,call
primo,first
che,who
può,may
giù,down
lato,side
stato,been
ora,now
trovare,find
testa,head
stare in piedi,stand
proprio,own
pagina,page
dovrebbe,should
paese,country
trovato,found
risposta,answer
scuola,school
crescere,grow
studio,study
ancora,still
imparare,learn
pianta,plant
copertura,cover
cibo,food
sole,sun
quattro,four
tra,between
stato,state
mantenere,keep
occhio,eye
mai,never
ultimo,last
lasciare,let
pensiero,thought
città,city
albero,tree
attraversare,cross
fattoria,farm
duro,hard
inizio,start
potrebbe,might
storia,story
sega,saw
lontano,far
mare,sea
disegnare,draw
lasciato,left
tardi,late
eseguire,run
non,don't
mentre,while
stampa,press
vicino,close
notte,night
reale,real
vita,life
pochi,few
nord,north
libro,book
portare,carry
ha preso,took
scienza,science
mangiare,eat
stanza,room
amico,friend
ha iniziato,began
idea,idea
pesce,fish
montagna,mountain
stop,stop
una volta,once
base,base
sentire,hear
cavallo,horse
taglio,cut
sicuro,sure
guardare,watch
colore,color
faccia,face
legno,wood
principale,main
aperto,open
sembrare,seem
insieme,together
prossimo,next
bianco,white
bambini,children
iniziare,begin
ottenuto,got
camminare,walk
esempio,example
facilità,ease
carta,paper
gruppo,group
sempre,always
musica,music
quelli,those
entrambi,both
marchio,mark
spesso,often
lettera,letter
fino a,until
miglio,mile
fiume,river
auto,car
piedi,feet
cura,care
secondo,second
abbastanza,enough
pianura,plain
ragazza,girl
solito,usual
giovane,young
pronto,ready
sopra,above
mai,ever
rosso,red
lista,list
anche se,though
sentire,feel
discussione,talk
uccello,bird
presto,soon
corpo,body
cane,dog
famiglia,family
diretto,direct
posa,pose
lasciare,leave
canzone,song
misurare,measure
porta,door
prodotto,product
nero,black
breve,short
cifra,numeral
classe,class
vento,wind
domanda,question
accadere,happen
completo,complete
nave,ship
zona,area
metà,half
roccia,rock
ordine,order
338.fuoco,fire
sud,south
problema,problem
pezzo,piece
ha detto,told
sapeva,knew
passare,pass
da quando,since
top,top
intero,whole
re,king
strada,street
pollice,inch
moltiplicare,multiply
niente,nothing
corso,course
soggiorno,stay
ruota,wheel
pieno,full
forza,force
blu,blue
oggetto,object
decidere,decide
superficie,surface
profondo,deep
luna,moon
isola,island
piede,foot
sistema,system
occupato,busy
test,test
record,record
barca,boat
comune,common
oro,gold
possibile,possible
aereo,plane
posto,stead
secco,dry
meraviglia,wonder
riso,laugh
migliaia,thousand
fa,ago
corse,ran
controllare,check
gioco,game
forma,shape
equiparare,equate
caldo,hot
mancare,miss
portato,brought
calore,heat
neve,snow
pneumatico,tire
portare,bring
sì,yes
lontano,distant
riempire,fill
est,east
dipingere,paint
lingua,language
tra,among
unità,unit
potenza,power
città,town
fine,fine
certo,certain
volare,fly
cadere,fall
condurre,lead
grido,cry
scuro,dark
macchina,machine
nota,note
aspettare,wait
piano,plan
figura,figure
stella,star
scatola,box
sostantivo,noun
campo,field
resto,rest
corretto,correct
in grado,able
libbra,pound
fatto,done
bellezza,beauty
unità,drive
sorgeva,stood
contenere,contain
fronte,front
insegnare,teach
settimana,week
finale,final
ha dato,gave
verde,green
oh,oh
veloce,quick
sviluppare,develop
oceano,ocean
caldo,warm
gratuito,free
minuto,minute
forte,strong
speciale,special
mente,mind
dietro,behind
chiaro,clear
coda,tail
produrre,produce
fatto,fact
spazio,space
sentito,heard
migliore,best
ora,hour
meglio,better
vero,true
durante,during
cento,hundred
cinque,five
ricordare,remember
passo,step
presto,early
tenere,hold
ovest,west
terra,ground
interesse,interest
raggiungere,reach
veloce,fast
verbo,verb
cantare,sing
ascoltare,listen
sei,six
tavolo,table
viaggio,travel
meno,less
mattina,morning
dieci,ten
semplice,simple
diversi,several
vocale,vowel
verso,toward
guerra,war
porre,lay
contro,against
modello,pattern
lento,slow
centro,center
amore,love
persona,person
soldi,money
servire,serve
apparire,appear
strada,road
mappa,map
governare,govern
tirare,pull
freddo,cold
avviso,notice
voce,voice
energia,energy
